    • 6  | Rats In The Cellar                      | Guitar Hero: A  
    • 6  | Spanish Castle Magic                    | Guitar Hero 1   
    • 6  | Walk This Way (Run-D.M.C.)              | Guitar Hero: A  
    • 6  | Combination                             | Guitar Hero: A  
    • 6  | Beyond Beautiful                        | Guitar Hero: A  
    • 7  | Frantic                                 | Guitar Hero: M  
    • 7  | The Thing That Should Not Be            | Guitar Hero: M  
    • 7  | Armed And Ready                         | Guitar Hero: M  
    • 7  | Orion                                   | Guitar Hero: M  
    • 7  | Beautiful Mourning                      | Guitar Hero: M  
    • 7  | Fade To Black                           | Guitar Hero: M  
    • 7  | The Black River                         | Guitar Hero: M  
    • 7  | Ace Of Spades                           | Guitar Hero: M  
    • 7  | War Inside My Head                      | Guitar Hero: M  
    • 7  | Wherever I May Roam                     | Guitar Hero: M  
    • 7  | Am I Evil                               | Guitar Hero: M  
    • 7  | The Shortest Straw                      | Guitar Hero: M  
    • 7  | 2112 Pt. 4 - Presentation               | Guitar Hero 6   
    • 7  | Jump                                    | Guitar Hero: VH 
    • 7  | Dancing With Myself                     | Guitar Hero 5   
    • 7  | Dancing Through Sunday                  | Guitar Hero 6   
    • 7  | Monsters                                | Guitar Hero 3   
    • 7  | Brianstorm                              | Guitar Hero 5   
    • 7  | Bat Country                             | Guitar Hero 6   
    • 7  | Panama                                  | Guitar Hero: VH 
    • 7  | Down N' Dirty                           | Guitar Hero 3   
    • 7  | Mother                                  | Guitar Hero: SH 
    • 7  | Gratitude                               | Guitar Hero 5   
    • 7  | There's No Secrets This Year            | Guitar Hero 6   
    • 7  | Caught In A Mosh                        | Guitar Hero: 80s
    • 7  | Demolition Man (Live)                   | Guitar Hero: WT 
    • 7  | Mirror People                           | Guitar Hero 5   
    • 7  | Unskinny Bop                            | Guitar Hero 6   
    • 7  | Before I Forget                         | Guitar Hero 3   
    • 7  | Hang 'Em High                           | Guitar Hero: VH 
    • 7  | Beast And The Harlot                    | Guitar Hero: SH 
    • 7  | L'Via L'Viaquez                         | Guitar Hero: WT 
    • 7  | Been Caught Stealing                    | Guitar Hero 6   
    • 7  | One Big Holiday                         | Guitar Hero 5   
    • 7  | Stricken                                | Guitar Hero 3   
    • 7  | Love Me Two Times                       | Guitar Hero: WT 
    • 7  | Tones of Home                           | Guitar Hero 6   
    • 7  | Sweating Bullets                        | Guitar Hero 5   
    • 7  | Search and Destroy                      | Guitar Hero 2   
